ID,Category,Type,Item,Origin,Destination,Start_Lat,Start_Lon,End_Lat,End_Lon,Departure,Arrival,Status_Detail,Warehouse,Qty
IMP-100,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-12-15 00:00:00,2024-12-30 00:00:00,In Transit,All,30906
IMP-101,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-10 00:00:00,2024-08-26 00:00:00,In Transit,All,42988
IMP-102,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-12 00:00:00,2024-05-28 00:00:00,In Transit,All,16405
IMP-103,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-07 00:00:00,2024-08-22 00:00:00,In Transit,All,30970
IMP-104,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-23 00:00:00,2024-04-09 00:00:00,In Transit,All,13299
IMP-105,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-06 00:00:00,2024-09-27 00:00:00,In Transit,All,17616
IMP-106,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-28 00:00:00,2024-03-20 00:00:00,In Transit,All,18028
IMP-107,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-10 00:00:00,2024-10-29 00:00:00,In Transit,All,33182
IMP-108,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-28 00:00:00,2024-08-12 00:00:00,In Transit,All,48377
IMP-109,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-18 00:00:00,2024-03-09 00:00:00,In Transit,All,25447
IMP-110,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-31 00:00:00,2024-06-21 00:00:00,In Transit,All,31015
IMP-111,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-11 00:00:00,2024-10-29 00:00:00,In Transit,All,39794
IMP-112,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-18 00:00:00,2024-04-09 00:00:00,In Transit,All,16438
IMP-113,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-01 00:00:00,2024-03-18 00:00:00,In Transit,All,44058
IMP-114,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-02 00:00:00,2024-07-23 00:00:00,In Transit,All,15632
IMP-115,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-21 00:00:00,2024-03-14 00:00:00,In Transit,All,46644
IMP-116,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-25 00:00:00,2024-02-12 00:00:00,In Transit,All,18959
IMP-117,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-01 00:00:00,2024-05-22 00:00:00,In Transit,All,13044
IMP-118,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-12 00:00:00,2024-07-30 00:00:00,In Transit,All,49296
IMP-119,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-03-07 00:00:00,2024-03-27 00:00:00,In Transit,All,43350
IMP-120,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-06-06 00:00:00,2024-06-25 00:00:00,In Transit,All,39780
IMP-121,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-14 00:00:00,2024-10-02 00:00:00,In Transit,All,18120
IMP-122,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-18 00:00:00,2024-11-11 00:00:00,In Transit,All,10086
IMP-123,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-20 00:00:00,2024-12-13 00:00:00,In Transit,All,20047
IMP-124,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-13 00:00:00,2024-05-07 00:00:00,In Transit,All,32378
IMP-125,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-10-28 00:00:00,2024-11-12 00:00:00,In Transit,All,13513
IMP-126,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-17 00:00:00,2024-08-01 00:00:00,In Transit,All,16230
IMP-127,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-07-27 00:00:00,2024-08-16 00:00:00,In Transit,All,41857
IMP-128,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-28 00:00:00,2024-10-20 00:00:00,In Transit,All,47614
IMP-129,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-06-06 00:00:00,2024-06-21 00:00:00,In Transit,All,46665
IMP-130,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-16 00:00:00,2024-10-01 00:00:00,In Transit,All,47371
IMP-131,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-01 00:00:00,2024-01-24 00:00:00,In Transit,All,42740
IMP-132,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-04-02 00:00:00,2024-04-17 00:00:00,In Transit,All,13325
IMP-133,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-13 00:00:00,2024-02-28 00:00:00,In Transit,All,20472
IMP-134,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-09 00:00:00,2024-02-25 00:00:00,In Transit,All,40585
IMP-135,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-25 00:00:00,2024-09-10 00:00:00,In Transit,All,42835
IMP-136,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-29 00:00:00,2024-03-24 00:00:00,In Transit,All,37111
IMP-137,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-01-15 00:00:00,2024-02-03 00:00:00,In Transit,All,36592
IMP-138,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-05-26 00:00:00,2024-06-11 00:00:00,In Transit,All,29827
IMP-139,Inbound,Ship,Active Ingredients,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-07 00:00:00,2024-08-28 00:00:00,In Transit,All,40271
IMP-140,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-09-09 00:00:00,2024-09-27 00:00:00,In Transit,All,39447
IMP-141,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-08-29 00:00:00,2024-09-19 00:00:00,In Transit,All,47010
IMP-142,Inbound,Ship,Packaging Bottles,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-02-06 00:00:00,2024-02-22 00:00:00,In Transit,All,48361
IMP-143,Inbound,Ship,Raw Surfactant,Port_Shanghai,Port_TanjungPriok,31.2304,121.4737,-6.101,106.883,2024-11-16 00:00:00,2024-12-08 00:00:00,In Transit,All,40065
